,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,_rxn_organic-inchikey,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_rxn_temperatureC,_raw_inchikey,_raw_smiles,_raw_molweight,_raw_smiles_standard,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_bpKa1,_feat_atoms,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_fsp3,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,fr_Imine,fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine
0,0,0,250,0,0,0,250,0,0,0.0,1.15,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,200,38,0,0,0,250,0,0,0.744,0.9199999999999999,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,150,79,0,0,0,250,0,0,0.5579999999999998,0.9199999999999999,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,100,119,0,0,0,250,0,0,0.3719999999999999,0.9199999999999999,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40,50,160,0,0,0,250,0,0,0.18599999999999994,0.9199999999999999,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,50,0,200,0,0,0,250,0,0,0.0,0.9199999999999999,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,71,150,29,0,0,0,250,0,0,0.5579999999999998,0.69,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,81,100,69,0,0,0,250,0,0,0.3719999999999999,0.69,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,90,50,110,0,0,0,250,0,0,0.18599999999999994,0.69,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100,0,150,0,0,0,250,0,0,0.0,0.69,13.252226808603083,JMXLWMIFDJCGBV-UHFFFAOYSA-N,900.0,1200.0,21600.0,750.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
